Symbol,Name
3IN.L,3i Infrastructure plc
FOUR.L,4imprint Group plc
888.L,888 Holdings
ASL.L,Aberforth Smaller Companies Trust
AGK.L,Aggreko plc
AAF.L,Airtel Africa plc
AJB.L,AJ Bell Plc
ATST.L,Alliance Trust plc
APAX.L,Apax Global Alpha Limited
ASCL.L,Ascential Plc
ASHM.L,Ashmore Group plc
AGR.L,Assura plc
AML.L,Aston Martin Lagonda
AVST.L,Avast plc
AGT.L,AVI Global Trust plc
AVON.L,Avon Rubber plc
BME.L,B&M European Value Retail SA
BAB.L,Babcock International Group
BGFD.L,Baillie Gifford Japan Trust plc
BAKK.L,Bakkavor Group Plc
BBY.L,Balfour Beatty plc
BGEO.L,Bank Of Georgia Group Plc
BNKR.L,Bankers Investment Trust plc
BAG.L,Barr (A.G.)
BBGI.L,BBGI Sicav SA
BEZ.L,Beazley plc
BWY.L,Bellway plc
BYG.L,Big Yellow Group
BRSC.L,BlackRock Smaller Companies Trust
BRWM.L,BlackRock World Mining Trust
BCPT.L,BMO Commercial Property Trust Ltd
BGSC.L,BMO Global Smaller Companies plc
BOY.L,Bodycote plc
BRW.L,Brewin Dolphin Holdings plc
BVIC.L,Britvic plc
CCR.L,C & C Group plc
CNE.L,Cairn Energy plc
CLDN.L,Caledonia Investments plc
CPI.L,Capita plc
CAPC.L,Capital & Counties Properties plc
CEY.L,Centamin plc
CINE.L,Cineworld Group plc
CTY.L,City Of London Investment Trust
CKN.L,Clarkson plc
CBG.L,Close Brothers Group plc
CLI.L,CLS Holdings plc
COA.L,Coats Group plc
CCC.L,Computacenter plc
GLO.L,ContourGlobal plc
CTEC.L,ConvaTec Group Plc
CSP.L,Countryside Properties Plc
CWK.L,Cranswick plc
CRST.L,Crest Nicholson Holdings plc
DJAN.L,Daejan Holdings plc
DPH.L,Dechra Pharmaceuticals plc
DLN.L,Derwent London plc
DPLM.L,Diploma plc
DLG.L,Direct Line Insurance Group plc
DC.L,Dixons Carphone plc
DOM.L,Domino's Pizza Group plc
DRX.L,Drax Group plc
DNLM.L,Dunelm Group Plc
EDIN.L,Edinburgh Investment Trust plc
