Symbol,Name
ABDP.L,AB Dynamics plc
ABC.L,Abcam plc
AMS.L,Advanced Medical Solutions Group plc
APH.L,Alliance Pharma Plc
AFM.L,Alpha Financial Markets Consulting Plc
AFX.L,Alpha FX Group plc
ASY.L,Andrews Sykes Group plc
APGN.L,Applegreen plc
ARBB.L,Arbuthnot Banking Group plc
ASC.L,ASOS plc
ATYM.L,Atalaya Mining plc
BMK.L,Benchmark Holdings plc
PRSM.L,Blue Prism plc
BOKU.L,Boku Inc
BOO.L,Boohoo Group plc
BREE.L,Breedon Group plc
BRK.L,Brooks Macdonald Group
BUR.L,Burford Capital Ltd
BMN.L,Bushveld Minerals Ltd
CAM.L,Camellia
CTH.L,Caretech Holdings plc
CAML.L,Central Asia Metals
CWR.L,Ceres Power Holdings
CLIN.L,Clinigen Group plc
CDM.L,Codemasters Group Holdings Limited
CHRT.L,Cohort plc
CRW.L,Craneware plc
CREO.L,Creo Medical Group Plc
CVSG.L,CVS Group plc
DTG.L,Dart Group plc
DGOC.L,Diversified Gas & Oil Plc
DOTD.L,dotDigital Group plc
GROW.L,Draper Esprit plc
ESL.L,Eddie Stobart Logistics plc
EMIS.L,Emis Group Plc
FEVR.L,Fevertree Drinks plc
TUNE.L,Focusrite plc
FDEV.L,Frontier Developments plc
GAMA.L,Gamma Communications Ltd
GTLY.L,Gateley Holdings plc
GBG.L,GB Group plc
DATA.L,GlobalData plc
GHH.L,Gooch & Housego
GRP.L,Greencoat Renewables plc
HGM.L,Highland Gold Mining
HZD.L,Horizon Discovery Group plc
HOTC.L,Hotel Chocolat Group plc
HUR.L,Hurricane Energy plc
HCM.L,Hutchison China Meditech
IDEA.L,Ideagen Plc
IGR.L,IG Design Group plc
IMO.L,IMImobile plc
IPX.L,Impax Asset Management Group Plc
IPEL.L,Impellam Group plc
IOM.L,Iomart Group
IQE.L,IQE plc
ITM.L,ITM Power plc
JSE.L,Jadestone Energy Inc
JHD.L,James Halstead plc
JSG.L,Johnson Service Group plc
JOUL.L,Joules Group plc
JDG.L,Judges Scientific plc
KWS.L,Keywords Studios plc
KGH.L,Knights Group Hldgs
LTG.L,Learning Technologies Group plc
MPE.L,M P Evans Group Plc
MANO.L,Manolete Partners Plc
MIDW.L,Midwich Group plc
MAB1.L,Mortgage Advice Bureau (Holdings) Ltd
NFC.L,Next Fifteen Communications Group
NICL.L,Nichols plc
NUM.L,Numis Corporation
PAF.L,Pan African Resources plc
POLR.L,Polar Capital Holdings Plc
PMI.L,Premier Miton Group plc
PURP.L,PurpleBricks Group plc
RQIH.L,Randall & Quilter Investment Holdings Ltd
RNWH.L,Renew Holdings Plc
RST.L,Restore Plc
RWS.L,RWS Holdings plc
SCPA.L,Scapa Group plc
SIR.L,Secure Income REIT plc
SQZ.L,Serica Energy Plc
STX.L,Shield Therapeutics plc
SLN.L,Silence Therapeutics plc
SMS.L,Smart Metering Systems plc
KETL.L,Strix Group plc
SUMO.L,Sumo Group
TM17.L,Team17 Group Plc
TCM.L,Telit Communications Plc
TFW.L,Thorpe (F.W) plc
TRCS.L,Tracsis plc
TRMR.L,Tremor International Ltd
UPR.L,Uniphar plc
VCP.L,Victoria plc
WHR.L,Warehouse REIT plc
WJG.L,Watkin Jones plc
YOU.L,YouGov Plc
YNGA.L,Young & Co's Brewery Plc
YNGN.L,Young & Co's Brewery Plc
